date,MOEX
2020-07-02,116.07
2020-07-03,116.14
2020-07-06,118.99
2020-07-07,122.51
2020-07-08,122.48
2020-07-09,124.01
2020-07-10,126.45
2020-07-13,124.04
2020-07-14,124.92
2020-07-15,125.69
2020-07-16,125.34
2020-07-17,125.37
2020-07-20,125.92
2020-07-21,124.61
2020-07-22,126.38
2020-07-23,125.46
2020-07-24,128.2
2020-07-27,132.0
2020-07-28,131.76
2020-07-29,133.99
2020-07-30,131.76
2020-07-31,133.25
2020-08-03,138.86
2020-08-04,140.55
2020-08-05,145.35
2020-08-06,147.1
2020-08-07,143.24
2020-08-10,140.77
2020-08-11,143.14
2020-08-12,144.65
2020-08-13,146.06
2020-08-14,143.75
2020-08-17,143.96
2020-08-18,143.57
2020-08-19,144.34
2020-08-20,144.35
2020-08-21,146.18
2020-08-24,145.72
2020-08-25,143.72
2020-08-26,143.52
2020-08-27,141.6
2020-08-28,139.38
2020-08-31,137.87
2020-09-01,137.5
2020-09-02,137.05
2020-09-03,136.5
2020-09-04,135.08
2020-09-07,136.77
2020-09-08,136.54
2020-09-09,136.86
2020-09-10,139.15
2020-09-11,138.39
2020-09-14,137.79
2020-09-15,139.84
2020-09-16,145.57
2020-09-17,148.68
2020-09-18,146.26
2020-09-21,142.24
2020-09-22,144.57
2020-09-23,143.9
2020-09-24,145.3
2020-09-25,144.65
2020-09-28,147.5
2020-09-29,148.96
2020-09-30,146.92
2020-10-01,146.01
2020-10-02,148.1
2020-10-05,154.53
2020-10-06,154.16
2020-10-07,151.9
2020-10-08,150.38
2020-10-09,149.55
2020-10-12,151.66
2020-10-13,148.4
2020-10-14,149.3
2020-10-15,150.25
2020-10-16,146.92
2020-10-19,144.42
2020-10-20,146.26
2020-10-21,146.94
2020-10-22,145.32
2020-10-23,142.67
2020-10-26,140.94
2020-10-27,141.18
2020-10-28,138.1
2020-10-29,140.3
2020-10-30,134.19
2020-11-02,133.2
2020-11-03,132.87
2020-11-05,137.75
2020-11-06,137.65
2020-11-09,141.24
2020-11-10,138.46
2020-11-11,135.73
2020-11-12,134.1
2020-11-13,134.57
2020-11-16,136.34
2020-11-17,136.05
2020-11-18,137.15
2020-11-19,138.96
2020-11-20,139.48
2020-11-23,138.69
2020-11-24,141.38
2020-11-25,142.78
2020-11-26,146.86
2020-11-27,153.1
2020-11-30,152.88
2020-12-01,154.82
2020-12-02,158.44
2020-12-03,157.86
2020-12-04,157.6
2020-12-07,157.51
2020-12-08,159.0
2020-12-09,162.57
2020-12-10,164.72
2020-12-11,167.71
2020-12-14,163.0
2020-12-15,165.35
2020-12-16,163.64
2020-12-17,163.21
2020-12-18,160.66
2020-12-21,158.38
2020-12-22,161.17
2020-12-23,162.19
2020-12-24,160.95
2020-12-25,160.19
2020-12-28,159.23
2020-12-29,159.67
2020-12-30,159.25
2021-01-04,159.0
2021-01-05,161.37
2021-01-06,160.91
2021-01-08,160.33
2021-01-11,159.49
2021-01-12,158.5
2021-01-13,159.5
2021-01-14,159.76
2021-01-15,159.9
2021-01-18,160.16
2021-01-19,166.89
2021-01-20,164.22
2021-01-21,159.57
2021-01-22,158.66
2021-01-25,162.8
2021-01-26,162.89
2021-01-27,160.51
2021-01-28,160.51
2021-01-29,157.62
2021-02-01,157.28
2021-02-02,158.99
2021-02-03,158.89
2021-02-04,158.64
2021-02-05,158.2
2021-02-08,161.32
2021-02-09,164.09
2021-02-10,160.76
2021-02-11,160.11
2021-02-12,163.28
2021-02-15,165.29
2021-02-16,162.88
2021-02-17,164.5
2021-02-18,160.98
2021-02-19,165.55
2021-02-20,165.55
2021-02-22,169.5
2021-02-24,173.28
2021-02-25,172.6
2021-02-26,173.31
2021-03-01,177.65
2021-03-02,174.33
2021-03-03,170.62
2021-03-04,169.56
2021-03-05,167.43
2021-03-09,168.48
2021-03-10,169.03
2021-03-11,169.01
2021-03-12,167.87
2021-03-15,167.9
2021-03-16,166.36
2021-03-17,167.19
2021-03-18,167.75
2021-03-19,168.17
2021-03-22,168.53
2021-03-23,166.3
2021-03-24,167.99
2021-03-25,167.88
2021-03-26,169.57
2021-03-29,169.94
2021-03-30,170.55
2021-03-31,173.95
2021-04-01,170.56
2021-04-02,169.41
2021-04-05,169.99
2021-04-06,169.4
2021-04-07,172.09
2021-04-08,172.21
2021-04-09,171.03
2021-04-12,171.68
2021-04-13,173.73
2021-04-14,173.9
2021-04-15,171.95
2021-04-16,173.47
2021-04-19,173.72
2021-04-20,170.92
2021-04-21,170.81
2021-04-22,169.91
2021-04-23,171.2
2021-04-26,173.2
2021-04-27,177.87
2021-04-28,176.83
2021-04-29,177.27
2021-04-30,177.8
2021-05-04,181.0
2021-05-05,184.0
2021-05-06,188.88
2021-05-07,187.37
2021-05-10,187.01
2021-05-11,190.23
2021-05-12,187.63
2021-05-13,178.91
2021-05-14,175.35
2021-05-17,176.89
2021-05-18,174.18
2021-05-19,172.65
2021-05-20,170.99
2021-05-21,168.97
2021-05-24,169.68
2021-05-25,169.75
2021-05-26,169.95
2021-05-27,168.17
2021-05-28,168.31
2021-05-31,169.14
2021-06-01,170.3
2021-06-02,171.14
2021-06-03,170.53
2021-06-04,172.8
2021-06-07,176.01
2021-06-08,175.75
2021-06-09,176.15
2021-06-10,175.54
2021-06-11,174.96
2021-06-14,175.01
2021-06-15,176.06
2021-06-16,175.56
2021-06-17,178.79
2021-06-18,176.69
2021-06-21,178.2
2021-06-22,176.25
2021-06-23,175.28
2021-06-24,174.15
2021-06-25,172.46
2021-06-28,173.73
2021-06-29,170.82
2021-06-30,171.05
2021-07-01,171.3
2021-07-02,171.1
2021-07-05,173.07
2021-07-06,171.8
2021-07-07,171.52
2021-07-08,172.48
2021-07-09,171.55
2021-07-12,171.82
2021-07-13,171.1
2021-07-14,171.85
2021-07-15,170.7
2021-07-16,169.51
2021-07-19,164.2
2021-07-20,167.58
2021-07-21,166.6
2021-07-22,170.39
2021-07-23,170.0
2021-07-26,171.05
2021-07-27,171.63
2021-07-28,171.9
2021-07-29,174.32
2021-07-30,173.41
2021-08-02,174.3
2021-08-03,174.3
2021-08-04,174.35
2021-08-05,176.0
2021-08-06,174.5
2021-08-09,174.93
2021-08-10,175.79
2021-08-11,176.03
2021-08-12,177.48
2021-08-13,174.74
2021-08-16,174.71
2021-08-17,180.45
2021-08-18,182.95
2021-08-19,180.71
2021-08-20,181.1
2021-08-23,180.88
2021-08-24,179.79
2021-08-25,179.73
2021-08-26,179.83
2021-08-27,181.83
2021-08-30,182.52
2021-08-31,183.73
2021-09-01,186.62
2021-09-02,191.02
2021-09-03,186.39
2021-09-06,185.56
2021-09-07,186.9
2021-09-08,182.49
2021-09-09,182.29
2021-09-10,186.09
2021-09-13,184.5
2021-09-14,181.23
2021-09-15,184.77
2021-09-16,180.3
2021-09-17,182.08
2021-09-20,180.77
2021-09-21,181.68
2021-09-22,179.31
2021-09-23,179.8
2021-09-24,179.37
2021-09-27,177.77
2021-09-28,173.5
