date,GAZP
2020-11-05,163.7
2020-11-06,164.92
2020-11-09,170.13
2020-11-10,172.92
2020-11-11,170.53
2020-11-12,172.91
2020-11-13,180.3
2020-11-16,185.32
2020-11-17,182.9
2020-11-18,185.0
2020-11-19,184.16
2020-11-20,183.21
2020-11-23,184.15
2020-11-24,186.76
2020-11-25,188.03
2020-11-26,185.52
2020-11-27,185.9
2020-11-30,181.89
2020-12-01,185.34
2020-12-02,187.22
2020-12-03,185.12
2020-12-04,188.79
2020-12-07,190.76
2020-12-08,190.0
2020-12-09,189.35
2020-12-10,192.95
2020-12-11,201.5
2020-12-14,199.91
2020-12-15,201.0
2020-12-16,206.2
2020-12-17,214.52
2020-12-18,212.69
2020-12-21,203.46
2020-12-22,208.4
2020-12-23,207.63
2020-12-24,206.24
2020-12-25,205.03
2020-12-28,206.11
2020-12-29,208.75
2020-12-30,212.98
2021-01-04,212.71
2021-01-05,215.32
2021-01-06,214.38
2021-01-08,225.49
2021-01-11,227.6
2021-01-12,228.69
2021-01-13,226.8
2021-01-14,228.86
2021-01-15,226.5
2021-01-18,226.88
2021-01-19,223.15
2021-01-20,224.3
2021-01-21,217.28
2021-01-22,215.49
2021-01-25,218.68
2021-01-26,218.8
2021-01-27,217.4
2021-01-28,217.7
2021-01-29,212.83
2021-02-01,214.66
2021-02-02,214.42
2021-02-03,218.1
2021-02-04,219.79
2021-02-05,222.01
2021-02-08,228.0
2021-02-09,227.73
2021-02-10,223.24
2021-02-11,221.35
2021-02-12,226.71
2021-02-15,229.22
2021-02-16,232.46
2021-02-17,229.14
2021-02-18,224.47
2021-02-19,226.0
2021-02-20,225.84
2021-02-22,225.63
2021-02-24,222.55
2021-02-25,221.7
2021-02-26,217.56
2021-03-01,221.47
2021-03-02,222.74
2021-03-03,222.15
2021-03-04,221.14
2021-03-05,227.0
2021-03-09,232.1
2021-03-10,231.69
2021-03-11,232.47
2021-03-12,233.8
2021-03-15,237.79
2021-03-16,234.02
2021-03-17,229.9
2021-03-18,224.35
2021-03-19,225.4
2021-03-22,221.88
2021-03-23,221.62
2021-03-24,223.65
2021-03-25,224.84
2021-03-26,227.3
2021-03-29,228.74
2021-03-30,225.93
2021-03-31,227.24
2021-04-01,226.94
2021-04-02,228.4
2021-04-05,225.06
2021-04-06,222.95
2021-04-07,224.51
2021-04-08,224.3
2021-04-09,222.15
2021-04-12,222.87
2021-04-13,227.99
2021-04-14,235.32
2021-04-15,234.63
2021-04-16,235.1
2021-04-19,231.17
2021-04-20,230.0
2021-04-21,230.84
2021-04-22,230.93
2021-04-23,232.62
2021-04-26,233.23
2021-04-27,232.0
2021-04-28,232.96
2021-04-29,230.51
2021-04-30,231.38
2021-05-04,233.8
2021-05-05,237.5
2021-05-06,243.0
2021-05-07,241.7
2021-05-10,241.41
2021-05-11,242.5
2021-05-12,241.79
2021-05-13,247.16
2021-05-14,249.55
2021-05-17,255.15
2021-05-18,266.22
2021-05-19,260.9
2021-05-20,259.16
2021-05-21,258.0
2021-05-24,261.24
2021-05-25,259.79
2021-05-26,263.09
2021-05-27,262.96
2021-05-28,262.0
2021-05-31,261.03
2021-06-01,263.86
2021-06-02,271.15
2021-06-03,272.1
2021-06-04,274.3
2021-06-07,275.67
2021-06-08,275.36
2021-06-09,275.65
2021-06-10,276.1
2021-06-11,277.05
2021-06-14,279.5
2021-06-15,272.72
2021-06-16,271.8
2021-06-17,272.5
2021-06-18,270.06
2021-06-21,272.62
2021-06-22,277.0
2021-06-23,277.35
2021-06-24,277.47
2021-06-25,277.19
2021-06-28,276.99
2021-06-29,276.8
2021-06-30,281.8
2021-07-01,285.74
2021-07-02,285.65
2021-07-05,291.1
2021-07-06,293.45
2021-07-07,297.39
2021-07-08,292.86
2021-07-09,295.22
2021-07-12,297.39
2021-07-13,293.83
2021-07-14,284.6
2021-07-15,280.01
2021-07-16,279.65
2021-07-19,275.51
2021-07-20,277.3
2021-07-21,282.9
2021-07-22,283.28
2021-07-23,279.51
2021-07-26,281.05
2021-07-27,278.08
2021-07-28,282.2
2021-07-29,287.0
2021-07-30,287.35
2021-08-02,286.75
2021-08-03,287.09
2021-08-04,287.94
2021-08-05,285.95
2021-08-06,282.27
2021-08-09,286.68
2021-08-10,288.61
2021-08-11,290.35
2021-08-12,293.23
2021-08-13,292.7
2021-08-16,295.1
2021-08-17,298.32
2021-08-18,295.05
2021-08-19,293.68
2021-08-20,292.57
2021-08-23,297.69
2021-08-24,298.7
2021-08-25,296.7
2021-08-26,294.34
2021-08-27,299.66
2021-08-30,305.17
2021-08-31,305.65
2021-09-01,312.89
2021-09-02,312.3
2021-09-03,317.94
2021-09-06,328.93
2021-09-07,327.73
2021-09-08,327.6
2021-09-09,324.57
2021-09-10,326.43
2021-09-13,332.75
2021-09-14,338.98
2021-09-15,343.34
2021-09-16,338.5
2021-09-17,334.5
2021-09-20,325.7
2021-09-21,335.3
2021-09-22,340.59
2021-09-23,343.47
2021-09-24,344.29
2021-09-27,355.19
2021-09-28,354.07
2021-09-29,360.88
2021-09-30,360.8
2021-10-01,363.25
2021-10-04,376.06
2021-10-05,389.82
2021-10-06,381.3
2021-10-07,370.7
2021-10-08,366.17
2021-10-11,369.81
2021-10-12,364.1
2021-10-13,362.77
2021-10-14,367.0
2021-10-15,367.76
2021-10-18,363.5
2021-10-19,368.83
2021-10-20,369.97
2021-10-21,363.37
2021-10-22,358.12
2021-10-25,364.84
2021-10-26,364.82
2021-10-27,362.17
2021-10-28,353.21
2021-10-29,350.18
2021-11-01,359.1
2021-11-02,352.48
2021-11-03,353.02
2021-11-05,350.6
2021-11-08,351.47
2021-11-09,349.46
2021-11-10,345.8
2021-11-11,347.44
2021-11-12,333.6
2021-11-15,340.3
2021-11-16,336.79
2021-11-17,349.98
2021-11-18,345.56
2021-11-19,337.62
2021-11-22,319.2
2021-11-23,341.77
2021-11-24,338.3
2021-11-25,337.55
2021-11-26,326.0
2021-11-29,339.2
2021-11-30,334.24
2021-12-01,345.21
2021-12-02,350.3
2021-12-03,345.99
2021-12-06,338.94
2021-12-07,344.96
2021-12-08,340.5
2021-12-09,336.6
2021-12-10,332.0
2021-12-13,307.26
2021-12-14,319.35
2021-12-15,324.09
2021-12-16,328.39
2021-12-17,327.3
2021-12-20,325.9
2021-12-21,339.88
2021-12-22,345.55
2021-12-23,339.81
2021-12-24,338.79
2021-12-27,343.97
2021-12-28,343.23
2021-12-29,340.33
2021-12-30,342.39
2022-01-03,353.73
2022-01-04,352.55
2022-01-05,335.0
2022-01-06,346.13
2022-01-10,344.0
2022-01-11,343.74
2022-01-12,347.43
2022-01-13,337.6
2022-01-14,335.76
2022-01-17,327.81
2022-01-18,301.11
2022-01-19,318.36
2022-01-20,310.42
2022-01-21,311.6
2022-01-24,294.59
2022-01-25,302.96
2022-01-26,299.6
2022-01-27,325.25
2022-01-28,329.58
2022-01-31,334.8
2022-02-01,330.95
2022-02-02,331.7
2022-02-03,323.75
2022-02-04,324.6
2022-02-07,321.25
2022-02-08,331.7
2022-02-09,335.08
2022-02-10,328.93
2022-02-11,318.1
2022-02-14,321.85
2022-02-15,333.6
2022-02-16,336.5
2022-02-17,323.51
2022-02-18,309.48
2022-02-21,257.3
2022-02-22,283.51
2022-02-24,210.0
2022-02-25,228.0
2022-03-24,258.51
2022-03-25,227.0
2022-03-28,218.6
2022-03-29,208.0
2022-03-30,216.0
2022-03-31,242.48
2022-04-01,251.4
2022-04-04,252.9
2022-04-05,243.5
2022-04-06,239.7
2022-04-07,245.0
2022-04-08,241.07
2022-04-11,234.55
2022-04-12,236.3
2022-04-13,234.87
2022-04-14,222.11
2022-04-15,224.0
2022-04-18,216.99
2022-04-19,220.72
2022-04-20,218.92
2022-04-21,210.29
2022-04-22,208.0
2022-04-25,206.35
2022-04-26,225.85
2022-04-27,237.15
2022-04-28,237.53
2022-04-29,240.4
2022-05-04,234.16
2022-05-05,238.6
2022-05-06,240.1
2022-05-11,241.99
2022-05-12,230.56
2022-05-13,235.52
2022-05-16,244.2
2022-05-17,258.8
2022-05-18,264.84
2022-05-19,266.68
2022-05-20,263.0
2022-05-23,263.0
2022-05-24,265.8
2022-05-25,271.4
2022-05-26,295.89
2022-05-27,294.5
2022-05-30,300.8
2022-05-31,293.75
2022-06-01,297.69
2022-06-02,296.0
2022-06-03,297.0
2022-06-06,296.5
2022-06-07,297.99
2022-06-08,308.0
2022-06-09,306.5
2022-06-10,309.2
2022-06-14,317.69
2022-06-15,316.2
2022-06-16,316.99
2022-06-17,315.5
2022-06-20,311.98
2022-06-21,301.58
2022-06-22,295.8
2022-06-23,303.5
2022-06-24,296.0
2022-06-27,296.2
2022-06-28,297.2
2022-06-29,297.65
2022-06-30,207.0
2022-07-01,192.5
2022-07-04,186.25
2022-07-05,197.3
2022-07-06,195.42
2022-07-07,197.92
2022-07-08,198.0
2022-07-11,188.9
2022-07-12,191.4
2022-07-13,186.0
2022-07-14,184.55
2022-07-15,187.61
2022-07-18,186.7
2022-07-19,189.51
2022-07-20,193.3
2022-07-21,189.59
2022-07-22,192.25
2022-07-25,192.0
2022-07-26,193.95
2022-07-27,196.49
2022-07-28,196.25
2022-07-29,195.26
2022-08-01,192.0
2022-08-02,187.16
2022-08-03,187.04
2022-08-04,184.9
2022-08-05,176.58
2022-08-08,177.86
2022-08-09,181.04
2022-08-10,178.81
2022-08-11,174.1
2022-08-12,174.36
2022-08-15,174.8
2022-08-16,181.3
2022-08-17,176.5
2022-08-18,178.87
2022-08-19,177.6
2022-08-22,181.7
2022-08-23,184.3
2022-08-24,182.83
2022-08-25,181.9
2022-08-26,183.62
2022-08-29,190.0
2022-08-30,204.0
2022-08-31,254.9
2022-09-01,249.11
2022-09-02,252.8
2022-09-05,250.0
2022-09-06,246.0
2022-09-07,241.55
2022-09-08,243.95
2022-09-09,245.34
2022-09-12,243.3
2022-09-13,242.64
2022-09-14,243.32
2022-09-15,243.68
2022-09-16,243.8
2022-09-19,244.21
2022-09-20,221.15
2022-09-21,214.07
2022-09-22,231.45
2022-09-23,224.84
2022-09-26,206.0
2022-09-27,217.3
2022-09-28,217.38
2022-09-29,226.46
2022-09-30,217.7
2022-10-03,215.83
2022-10-04,210.72
2022-10-05,209.05
2022-10-06,212.86
2022-10-07,195.15
2022-10-10,163.89
2022-10-11,162.89
2022-10-12,161.8
2022-10-13,160.84
2022-10-14,159.6
2022-10-17,163.24
2022-10-18,160.2
2022-10-19,161.29
2022-10-20,160.75
2022-10-21,166.99
2022-10-24,165.47
2022-10-25,172.38
2022-10-26,171.98
2022-10-27,172.47
2022-10-28,170.73
2022-10-31,170.27
2022-11-01,169.92
2022-11-02,167.72
2022-11-03,169.14
2022-11-07,169.85
2022-11-08,169.97
2022-11-09,167.1
2022-11-10,168.9
2022-11-11,169.86
2022-11-14,169.6
2022-11-15,166.25
2022-11-16,168.76
2022-11-17,168.99
2022-11-18,168.79
2022-11-21,168.13
2022-11-22,168.08
2022-11-23,169.15
2022-11-24,168.96
2022-11-25,169.03
2022-11-28,168.1
2022-11-29,168.1
2022-11-30,167.7
2022-12-01,166.98
2022-12-02,165.86
2022-12-05,165.03
2022-12-06,164.3
2022-12-07,163.7
2022-12-08,163.0
2022-12-09,162.75
2022-12-12,162.89
2022-12-13,162.4
2022-12-14,160.74
2022-12-15,160.31
2022-12-16,160.24
2022-12-19,157.61
2022-12-20,158.94
2022-12-21,157.59
2022-12-22,157.95
2022-12-23,160.89
2022-12-26,162.12
2022-12-27,164.07
2022-12-28,161.82
2022-12-29,162.91
2022-12-30,162.56
2023-01-03,163.52
2023-01-04,162.51
2023-01-05,161.2
2023-01-06,162.1
2023-01-09,162.71
2023-01-10,162.1
2023-01-11,165.83
2023-01-12,164.17
2023-01-13,164.56
2023-01-16,165.8
2023-01-17,162.33
2023-01-18,162.18
2023-01-19,160.53
2023-01-20,158.85
2023-01-23,160.06
2023-01-24,157.88
2023-01-25,158.99
2023-01-26,157.58
2023-01-27,159.08
2023-01-30,158.41
2023-01-31,158.1
2023-02-01,158.12
2023-02-02,158.1
2023-02-03,160.87
2023-02-06,160.14
2023-02-07,159.87
2023-02-08,158.18
2023-02-09,159.19
2023-02-10,158.68
2023-02-13,158.01
2023-02-14,156.52
2023-02-15,153.09
2023-02-16,153.56
2023-02-17,153.62
2023-02-20,153.24
2023-02-21,154.97
2023-02-22,155.31
2023-02-24,154.22
2023-02-27,156.34
2023-02-28,157.66
2023-03-01,164.5
2023-03-02,160.9
2023-03-03,162.27
2023-03-06,163.35
2023-03-07,162.57
2023-03-09,161.21
2023-03-10,160.04
2023-03-13,159.03
2023-03-14,161.0
2023-03-15,159.68
2023-03-16,159.71
2023-03-17,163.29
2023-03-20,175.7
2023-03-21,170.55
2023-03-22,168.72
2023-03-23,168.84
2023-03-24,169.03
2023-03-27,172.33
2023-03-28,171.07
2023-03-29,170.95
2023-03-30,171.71
2023-03-31,169.83
2023-04-03,170.38
2023-04-04,172.55
2023-04-05,173.86
2023-04-06,171.6
2023-04-07,173.09
2023-04-10,174.54
2023-04-11,177.18
2023-04-12,178.75
2023-04-13,178.73
2023-04-14,179.5
2023-04-17,181.99
2023-04-18,184.39
2023-04-19,182.01
2023-04-20,181.74
2023-04-21,181.72
2023-04-24,181.56
2023-04-25,178.93
2023-04-26,178.38
2023-04-27,183.95
2023-04-28,181.13
2023-05-02,177.97
2023-05-03,172.87
2023-05-04,173.66
2023-05-05,172.09
2023-05-08,170.84
2023-05-10,175.53
2023-05-11,174.13
2023-05-12,173.95
2023-05-15,179.04
2023-05-16,177.05
2023-05-17,176.3
2023-05-18,175.26
2023-05-19,174.43
2023-05-22,172.47
2023-05-23,166.59
2023-05-24,162.96
2023-05-25,162.3
