date,TATNP
2018-08-03,494.1
2018-08-06,500.1
2018-08-07,502.8
2018-08-08,501.0
2018-08-09,503.0
2018-08-10,501.5
2018-08-13,501.8
2018-08-14,506.5
2018-08-15,499.7
2018-08-16,499.9
2018-08-17,501.4
2018-08-20,503.0
2018-08-21,505.9
2018-08-22,500.1
2018-08-23,500.2
2018-08-24,503.0
2018-08-27,504.7
2018-08-28,516.0
2018-08-29,536.0
2018-08-30,539.0
2018-08-31,526.0
2018-09-03,533.1
2018-09-04,534.0
2018-09-05,535.0
2018-09-06,530.0
2018-09-07,524.4
2018-09-10,536.0
2018-09-11,534.0
2018-09-12,524.8
2018-09-13,525.8
2018-09-14,525.5
2018-09-17,525.5
2018-09-18,527.2
2018-09-19,539.5
2018-09-20,544.2
2018-09-21,544.9
2018-09-24,533.3
2018-09-25,547.0
2018-09-26,553.2
2018-09-27,563.2
2018-09-28,575.0
2018-10-01,576.3
2018-10-02,571.5
2018-10-03,586.9
2018-10-04,579.6
2018-10-05,577.6
2018-10-08,589.9
2018-10-09,588.3
2018-10-10,578.0
2018-10-11,560.2
2018-10-12,565.0
2018-10-15,562.0
2018-10-16,555.0
2018-10-17,550.0
2018-10-18,550.0
2018-10-19,549.6
2018-10-22,551.0
2018-10-23,555.9
2018-10-24,550.1
2018-10-25,548.5
2018-10-26,532.2
2018-10-29,527.0
2018-10-30,517.0
2018-10-31,526.0
2018-11-01,526.0
2018-11-02,527.0
2018-11-06,537.6
2018-11-07,543.0
2018-11-08,556.0
2018-11-09,553.2
2018-11-12,562.8
2018-11-13,559.5
2018-11-14,548.0
2018-11-15,546.2
2018-11-16,541.1
2018-11-19,546.4
2018-11-20,532.4
2018-11-21,523.7
2018-11-22,520.0
2018-11-23,503.0
2018-11-26,492.8
2018-11-27,498.0
2018-11-28,512.0
2018-11-29,512.8
2018-11-30,508.1
2018-12-03,533.5
2018-12-04,548.5
2018-12-05,555.3
2018-12-06,554.9
2018-12-07,554.0
2018-12-10,549.0
2018-12-11,540.3
2018-12-12,530.9
2018-12-13,520.0
2018-12-14,518.0
2018-12-17,518.0
2018-12-18,511.0
2018-12-19,500.0
2018-12-20,495.0
2018-12-21,488.0
2018-12-24,477.4
2018-12-25,472.0
2018-12-26,490.1
2018-12-27,496.0
2018-12-28,510.6
2018-12-29,522.0
2019-01-03,521.9
2019-01-04,519.0
2019-01-08,505.9
2019-01-09,506.0
2019-01-10,510.8
2019-01-11,505.8
2019-01-14,508.8
2019-01-15,511.8
2019-01-16,514.1
2019-01-17,519.0
2019-01-18,528.4
2019-01-21,525.0
2019-01-22,524.2
2019-01-23,549.1
2019-01-24,545.9
2019-01-25,552.0
2019-01-28,547.5
2019-01-29,550.0
2019-01-30,558.0
2019-01-31,569.0
2019-02-01,557.5
2019-02-04,563.7
2019-02-05,565.2
2019-02-06,564.0
2019-02-07,563.8
2019-02-08,564.4
2019-02-11,562.3
2019-02-12,560.8
2019-02-13,549.0
2019-02-14,555.4
2019-02-15,563.0
2019-02-18,560.9
2019-02-19,560.9
2019-02-20,565.0
2019-02-21,562.8
2019-02-22,563.0
2019-02-25,558.8
2019-02-26,555.3
2019-02-27,547.7
2019-02-28,548.5
2019-03-01,548.0
2019-03-04,549.7
2019-03-05,547.0
2019-03-06,549.8
2019-03-07,543.0
2019-03-11,542.0
2019-03-12,529.0
2019-03-13,524.6
2019-03-14,531.0
2019-03-15,530.0
2019-03-18,540.9
2019-03-19,550.2
2019-03-20,562.3
2019-03-21,550.8
2019-03-22,545.2
2019-03-25,544.0
2019-03-26,552.4
2019-03-27,546.1
2019-03-28,553.0
2019-03-29,557.8
2019-04-01,556.6
2019-04-02,555.0
